workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{6c291068-a680-4528-84c5-a6e69a1420a2},{02e6214e-64af-4759-a9ba-89febf6f3db4},COMPLETED,Deploy to QA,509
solutionsmetrixcrmdev,esl,{2014c49b-2604-4e57-bc83-e3073abcc4c0},{a7c884c5-3741-45a9-904b-6e19abb31146},COMPLETED,Deploy to UAT,713
solutionsmetrixcrmdev,esl,{3e29e65e-bf67-489c-bee9-ad737ae925c4},{d7739f05-7d6d-46c4-9026-0cbd913d1e4d},COMPLETED,Deploy to QA,785
solutionsmetrixcrmdev,esl,{977e4a87-b758-4b58-bc13-9843ca72a33e},{a9628cf7-979c-4fc9-86ea-c067970e8f29},COMPLETED,Deploy to QA,496
solutionsmetrixcrmdev,esl,{2c2a95ae-f52e-4f49-9dff-8de42ed3bd19},{23005dcf-79cc-41ab-9a0c-0e33ce33588c},COMPLETED,Deploy to QA,611
solutionsmetrixcrmdev,esl,{499eba05-540e-463c-b8a4-08019b6f8c86},{394b238f-8d1e-4be7-bc20-25fcb012fea4},COMPLETED,Deploy to QA,739
solutionsmetrixcrmdev,esl,{9fd6eb6a-d16d-4daf-8de8-d32c5e64d64b},{cdf390ed-5c10-447f-8fcd-2f938e3e488e},COMPLETED,Deploy to QA,982
solutionsmetrixcrmdev,esl,{2db443e2-3667-43ef-b73c-d29fe45c9359},{6e5fa1ab-7b54-4871-8181-07e3088ef006},COMPLETED,Deploy to QA,712
solutionsmetrixcrmdev,esl,{6174a566-c5af-4f4b-b224-9ae7714a6087},{37ad831a-e75e-43bf-bcef-b477e26cdeac},COMPLETED,Deploy to QA,529
solutionsmetrixcrmdev,esl,{594c0b10-3dd5-428e-b24c-d3cee5dd75dc},{77c4e2aa-c73d-44a8-9b56-17d46eb5e607},COMPLETED,Deploy to QA,657
solutionsmetrixcrmdev,esl,{0adfa1f3-8fba-4b44-ade6-b9d8f7e4a880},{e5d70d07-5a8a-452c-b5c5-f5b82e50343e},COMPLETED,Deploy to QA,531
solutionsmetrixcrmdev,esl,{9010538d-cd7e-4f8c-8502-6e8ab6fc0343},{753638a9-1d2a-4be2-bc0b-4687f7a4c307},COMPLETED,Deploy to QA,732
solutionsmetrixcrmdev,esl,{a707365e-2baf-4dfd-8137-47ef20a28135},{d4f9b416-c534-4cb7-85ba-6eac9d73d417},COMPLETED,Deploy to QA,480
